,COUNTY,STATE,5/17/20,POPULATION,infection_rate
457,Haralson County,Georgia,34,28956.0,0.001174195330846802
458,Harris County,Georgia,74,33590.0,0.002203036618041084
459,Hart County,Georgia,20,25631.0,0.0007803050992938238
460,Heard County,Georgia,17,11677.0,0.0014558533870000856
461,Henry County,Georgia,630,221307.0,0.002846724233756727
462,Houston County,Georgia,314,151682.0,0.0020701203834337626
463,Irwin County,Georgia,22,9268.0,0.002373759171342253
464,Jackson County,Georgia,127,65755.0,0.0019314120599193978
465,Jasper County,Georgia,26,13784.0,0.0018862449216482879
466,Jeff Davis County,Georgia,24,14991.0,0.0016009605763458075
467,Jefferson County,Georgia,22,15772.0,0.001394876997210246
468,Jenkins County,Georgia,16,8827.0,0.0018126203693214003
469,Johnson County,Georgia,71,9730.0,0.007297019527235354
470,Jones County,Georgia,30,28548.0,0.0010508617065994115
471,Lamar County,Georgia,41,18513.0,0.002214659968670664
472,Lanier County,Georgia,12,10366.0,0.0011576307158016593
473,Laurens County,Georgia,94,47418.0,0.0019823695643004765
474,Lee County,Georgia,342,29348.0,0.011653264276952433
475,Liberty County,Georgia,46,62108.0,0.0007406453274940427
476,Lincoln County,Georgia,12,7799.0,0.0015386588024105655
477,Long County,Georgia,6,18156.0,0.00033046926635822867
478,Lowndes County,Georgia,203,114582.0,0.0017716569792812136
479,Lumpkin County,Georgia,82,31951.0,0.00256642984570123
480,McDuffie County,Georgia,55,21498.0,0.0025583775234905575
481,McIntosh County,Georgia,10,14120.0,0.000708215297450425
482,Macon County,Georgia,91,13480.0,0.006750741839762611
483,Madison County,Georgia,29,28900.0,0.0010034602076124568
484,Marion County,Georgia,40,8484.0,0.004714757190004715
485,Meriwether County,Georgia,72,21113.0,0.003410221190735566
486,Miller County,Georgia,37,5836.0,0.006339958875942426
487,Mitchell County,Georgia,388,22432.0,0.017296718972895864
488,Monroe County,Georgia,95,27010.0,0.003517215845982969
489,Montgomery County,Georgia,8,9036.0,0.0008853474988933156
490,Morgan County,Georgia,33,18235.0,0.0018097066081710995
491,Murray County,Georgia,60,39557.0,0.001516798543873398
